ID,Camera,Date,Sites,Location,Student Recorder,Organism,Debris,Code,Subcode,Count,Length,Width,Area,Biomass,Photo,ImageJ Measurement By,Notes
21,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,snail,mesh bag,GAST,OSNL,1,1.099,1.001,1.034,,,Anna Metzger,
22,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,clinging crab,none,MTHR,CLNG,1,0.236,0.272,0.102,,,Anna Metzger,
23,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,hard coral,rope,HCOR,DICH,1,2.428,2.091,4.901,,,Anna Metzger,
24,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,hard coral,rope,HCOR,DICH,1,1.862,2.913,4.294,,,Anna Metzger,
25,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,mithrax,none,MTHR,CLNG,1,,,,,,Anna Metzger,could not find photo
26,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,porcelein crab,none,GLRH,PORC,1,0.734,0.78,0.444,,,Anna Metzger,
27,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,clinging crab,none,MTHR,CLNG,1,0.298,0.696,0.132,,,Anna Metzger,
28,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,porcelein crab,none,GLRH,PORC,1,0.808,0.784,0.479,,,Anna Metzger,
29,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,porcelein crab,none,GLRH,PORC,1,0.461,0.576,0.25,,,Anna Metzger,
30,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,porcelein crab,none,GLRH,PORC,1,0.394,0.63,0.118,,,Anna Metzger,
31,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,porcelein crab,trap bait well,GLRH,PORC,1,,,,,,Anna Metzger,I am not sure where organism is
32,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,porcelein crab,none,GLRH,PORC,1,0.958,1.089,0.818,,,Anna Metzger,
33,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,sponge crab,none,DROM,DROM,1,0.816,0.72,0.501,,,Anna Metzger,check
34,Red,5/12/2023,Coral Gardens,Coral Gardens,Key Dives,decorator crab,none,MTHR,DECO,1,0.591,0.622,0.408,,,Anna Metzger,
36,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,trap throat,POLY,POLY,1,1.196,0.066,2.401,,P6100010,Kailyn ,
37,Black,6/9/2023,Karas A & B,Karas,Ashley,clinging crab,rope,MTHR,CLNG,1,0.784,0.748,2.322,,P6100027,Kailyn ,
38,Black,6/9/2023,Karas A & B,Karas,Ashley,clinging crab,rope,MTHR,CLNG,1,0.358,0.434,1.354,,P6100028,Kailyn ,
39,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,rope,POLY,POLY,1,9.062,0.224,18.689,,P6100041,Kailyn ,
40,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,rope,POLY,POLY,1,8.735,0.325,18.972,,P6100043,Kailyn ,
41,Black,6/9/2023,Karas A & B,Karas,Ashley,blue worm,rope,POLY,POLY,1,4.079,0.188,8.337,,P6100029,Kailyn ,
42,Black,6/9/2023,Karas A & B,Karas,Ashley,feather duster,rope,POLY,SABE,1,,,,,,Kailyn ,no photo (nothing comes up when I search it up as feather duster_42)
43,Black,6/9/2023,Karas A & B,Karas,Ashley,chiton,plexiglass,CHIT,CHIT,1,0.869,0.401,2.106,,P6100008,Kailyn ,
44,Black,6/9/2023,Karas A & B,Karas,Ashley,sea cucumber,fishing net,HOLO,HOLO,1,5.77,2.913,14.015,,P6100013,Kailyn ,
45,Black,6/9/2023,Karas A & B,Karas,Ashley,snail,fishing net,GAST,OSNL,1,1.585,1.039,3.771,,P6100015,Kailyn ,
46,Black,6/9/2023,Karas A & B,Karas,Ashley,snail,fishing net,GAST,OSNL,1,1.162,0.557,2.685,,P6100016,Kailyn ,
47,Black,6/9/2023,Karas A & B,Karas,Ashley,clinging crab,fishing net,MTHR,CLNG,1,0.498,0.497,1.675,,P6100034,Kailyn ,
48,Black,6/9/2023,Karas A & B,Karas,Ashley,spagetti worm,fishing net,POLY,TERB,1,4.51,0.282,8.974,,P6100018,Kailyn ,
49,Black,6/9/2023,Karas A & B,Karas,Ashley,spagetti worm,fishing net,POLY,TERB,1,8.965,0.474,17.803,,P6100019,Kailyn ,
50,Black,6/9/2023,Karas A & B,Karas,Ashley,spagetti worm,fishing net,POLY,TERB,1,1.778,0.452,3.846,,P6100020,Kailyn ,
51,Black,6/9/2023,Karas A & B,Karas,Ashley,spagetti worm,fishing net,POLY,TERB,1,5.318,0.538,10.757,,P6100022,Kailyn ,
52,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,fishing net,POLY,POLY,1,6.078,0.196,12.517,,P6100026,Kailyn ,
53,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,metal,POLY,POLY,1,2.205,0.22,4.344,,P6100030,Kailyn ,
54,Black,6/9/2023,Karas A & B,Karas,Ashley,snail,none,GAST,OSNL,1,1.082,0.51,2.515,,P6100017,Kailyn ,
55,Black,6/9/2023,Karas A & B,Karas,Ashley,chiton,none,CHIT,CHIT,1,2.034,0.77,4.892,,P6100052,Kailyn ,
56,Black,6/9/2023,Karas A & B,Karas,Ashley,fireworm,none,POLY,FIRE,1,0.515,0.093,1.096,,P6100023,Kailyn ,
57,Black,6/9/2023,Karas A & B,Karas,Ashley,brittle star,trap throat,OPHR,OPHR,1,0.276,0.254,0.849,,P6100032,Kailyn ,
58,Black,6/9/2023,Karas A & B,Karas,Ashley,brittle star,trap throat,OPHR,OPHR,1,0.192,0.187,0.471,,P6100035,Kailyn ,
59,Black,6/9/2023,Karas A & B,Karas,Ashley,brittle star,trap throat,OPHR,OPHR,1,0.507,0.477,1.53,,P6100066,Kailyn ,
60,Black,6/9/2023,Karas A & B,Karas,Ashley,clinging crab,trap throat,MTHR,CLNG,1,0.328,0.319,0.814,,P6100037,Kailyn ,
61,Black,6/9/2023,Karas A & B,Karas,Ashley,clinging crab,trap throat,MTHR,CLNG,1,0.342,0.281,0.921,,P6100040,Kailyn ,
62,Black,6/9/2023,Karas A & B,Karas,Ashley,clinging crab,trap throat,MTHR,CLNG,1,0.421,0.42,1.214,,P6100068,Kailyn ,
63,Black,6/9/2023,Karas A & B,Karas,Ashley,clinging crab,trap throat,MTHR,CLNG,1,0.47,0.302,1.213,,P6100070,Kailyn ,
64,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,trap throat,POLY,POLY,1,1.428,0.206,3.106,,P6100056,Kailyn ,
65,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,rope,POLY,POLY,1,2.958,0.095,5.748,,P6100038,Kailyn ,
66,Black,6/9/2023,Karas A & B,Karas,Ashley,fireworm,rope,POLY,FIRE,1,1.676,0.171,3.219,,P6100046,Kailyn ,
67,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,rope,POLY,POLY,1,2.636,0.298,5.862,,P6100053,Kailyn ,
68,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,fishing net,POLY,POLY,1,3.351,0.372,6.872,,P6100064,Kailyn ,
69,Black,6/9/2023,Karas A & B,Karas,Ashley,brittle star,none,OPHR,OPHR,1,0.583,0.533,1.889,,P6100047,Kailyn ,
70,Black,6/9/2023,Karas A & B,Karas,Ashley,brittle star,none,OPHR,OPHR,1,0.122,0.152,0.481,,P6100036,Kailyn ,
71,Black,6/9/2023,Karas A & B,Karas,Ashley,brittle star,none,OPHR,OPHR,1,0.514,0.439,1.798,,P6100048,Kailyn ,
72,Black,6/9/2023,Karas A & B,Karas,Ashley,clinging crab,none,MTHR,CLNG,1,0.559,0.548,1.81,,P6100051,Kailyn ,
73,Black,6/9/2023,Karas A & B,Karas,Ashley,crab,none,XNTH,XNTH,1,0.354,0.484,1.085,,P6100049,Kailyn ,
74,Black,6/9/2023,Karas A & B,Karas,Ashley,clinging crab,none,MTHR,CLNG,1,0.416,0.361,1.338,,P6100061,Kailyn ,
75,Black,6/9/2023,Karas A & B,Karas,Ashley,decorator crab,none,MTHR,DECO,1,0.668,0.582,1.69,,P6100072,Kailyn ,
76,Black,6/9/2023,Karas A & B,Karas,Ashley,crab,none,UNKN,CRAB,1,,,,,,Kailyn ,no photo (nothing comes up)
77,Black,6/9/2023,Karas A & B,Karas,Ashley,crab,none,UNKN,CRAB,1,,,,,,Kailyn ,no photo (nothing comes up)
78,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,none,POLY,POLY,1,1.15,0.201,2.559,,P6100065,Kailyn ,
79,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,none,POLY,POLY,1,0.229,10.409,20.885,,P6100045,Kailyn ,
80,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,none,POLY,POLY,1,,,,,,Kailyn ,no photo (nothing comes up)
81,Black,6/9/2023,Karas A & B,Karas,Ashley,polychaete,none,POLY,POLY,1,,,,,,Kailyn ,no photo (nothing comes up)
82,Black,6/9/2023,Karas A & B,Karas,Ashley,green worm,none,SIPN,SIPN,1,1.118,0.252,2.329,,P6100054,Kailyn ,
83,Black,6/9/2023,Karas A & B,Karas,Ashley,spagetti worm,none,POLY,TERB,1,2.008,0.137,4.343,,P6100057,Kailyn ,
84,Black,6/9/2023,Karas A & B,Karas,Ashley,spagetti worm,none,POLY,TERB,1,0.095,3.013,5.964,,P6100071,Kailyn ,
85,Black,6/9/2023,Karas A & B,Karas,Ashley,amphipod,none,AMPH,AMPH,1,0.73,0.149,1.781,,P6100062,Kailyn ,
86,Black,6/9/2023,Karas A & B,Karas,Ashley,decorator crab,none,MTHR,DECO,1,0.299,0.286,0.758,,P6100033,Kailyn ,
87,Black,6/9/2023,Karas A & B,Karas,Ashley,decorator crab,none,MTHR,DECO,1,1.121,0.749,2.803,,P6100060,Kailyn ,
88,Black,6/9/2023,Karas A & B,Karas,Ashley,snapping shrimp,none,CARD,SNAP,1,1.151,0.245,2.265,,P6100063,Kailyn ,
89,Black,6/9/2023,Karas A & B,Karas,Ashley,clinging crab,none,MTHR,CLNG,1,0.278,0.271,0.077,,P6100055,Anna Metzger,
90,Black,6/9/2023,Karas A & B,Karas,Ashley,clinging crab,none,MTHR,CLNG,1,0.338,0.437,0.142,,P6100059,Anna Metzger,
90.1,Black,6/10/2023,Karas A & B,Karas,Ashley,snail,unknown,GAST,OSNL,1,1.128,0.634,0.508,,P6100021,Anna Metzger,
90.2,Black,6/11/2023,Karas A & B,Karas,Ashley,snail,unknown,GAST,OSNL,1,0.839,0.547,0.264,,P6100031,Anna Metzger,
91,Red,6/9/2023,Karas A & B,Karas,Lydia,snail,none,GAST,OSNL,1,1.755,0.708,0.783,,,Anna Metzger,
92,Red,6/9/2023,Karas A & B,Karas,Lydia,crab,none,XNTH,XNTH,1,0.635,0.919,0.614,,P6090093,Anna Metzger,
93,Red,6/9/2023,Karas A & B,Karas,Lydia,star coral,vinyl,HCOR,SSPP,1,1.533,1.309,1.499,,,Anna Metzger,
94,Red,6/9/2023,Karas A & B,Karas,Lydia,penaid shrimp,aluminum can,PENA,PENA,1,1.803,0.252,0.273,,,Anna Metzger,
95,Red,6/9/2023,Karas A & B,Karas,Lydia,snail,glass bottle,GAST,OSNL,1,0.907,0.576,0.33,,,Anna Metzger,
96,Red,6/9/2023,Karas A & B,Karas,Lydia,clam,weight pouch,BIVL,CLAM,1,0.731,1.11,0.61,,,Anna Metzger,
97,Red,6/9/2023,Karas A & B,Karas,Lydia,flat worm,weight pouch,PLYC,PLYC,1,2.773,0.497,1.102,,,Anna Metzger,
98,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,weight pouch,POLY,POLY,1,14.978,0.31,5.043,,,Anna Metzger,
99,Red,6/9/2023,Karas A & B,Karas,Lydia,peppermint shrimp,bait well,CARD,PEPP,1,,,,,,Anna Metzger,no ruler
100,Red,6/9/2023,Karas A & B,Karas,Lydia,peppermint shrimp,bait well,CARD,PEPP,1,,,,,,Anna Metzger,no ruler
100.1,Red,6/9/2023,Karas A & B,Karas,None,anemone ,trap throat,ANME,ANME,1,,,,,P6090009,Anna Metzger,no ruler
101,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,rope,POLY,FIRE,1,1.262,0.24,0.267,,,Anna Metzger,
102,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,rope,OPHR,OPHR,1,0.266,0.305,0.068,,,Anna Metzger,
103,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,rope,OPHR,OPHR,1,0.225,0.189,0.043,,,Anna Metzger,
104,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,rope,OPHR,OPHR,1,0.207,0.227,0.071,,,Anna Metzger,
105,Red,6/9/2023,Karas A & B,Karas,Lydia,red worm,rope,POLY,POLY,1,1.889,0.053,0.131,,,Anna Metzger,
106,Red,6/9/2023,Karas A & B,Karas,Lydia,bristle worm,rope,POLY,POLY,1,0.303,0.243,0.049,,P6090090,Anna Metzger,
107,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.23,0.213,0.033,,P6090047,Anna Metzger,
108,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.277,0.255,0.044,,P6090053,Anna Metzger,
109,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.426,0.362,0.099,,P6090052,Anna Metzger,
110,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.388,0.432,0.223,,P6090091,Anna Metzger,
111,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.314,0.286,0.059,,P6090086,Anna Metzger,
112,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.259,0.246,0.046,,P6090045,Anna Metzger,
113,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.188,0.228,0.041,,P6090092,Anna Metzger,
114,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.395,0.311,0.11,,P6090051,Anna Metzger,
115,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.183,0.14,0.058,,P6090069,Anna Metzger,
116,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.293,0.185,0.024,,P6090082,Anna Metzger,
117,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.211,0.11,0.023,,P6090068,Anna Metzger,
118,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.18,0.218,0.043,,P6090081,Anna Metzger,
119,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.174,0.211,0.032,,P6090056,Anna Metzger,
120,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.226,0.295,0.037,,P6090064,Anna Metzger,
121,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.175,0.243,0.038,,P6090070,Anna Metzger,
122,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.228,0.8181,0.06,,P6090077,Anna Metzger,
123,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,fishing net,OPHR,OPHR,1,0.247,0.217,0.04,,P6090083,Anna Metzger,
124,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,fishing net,POLY,POLY,1,4.366,0.131,0.832,,polychaete1,Anna Metzger,
125,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,fishing net,POLY,POLY,1,3.223,0.054,0.298,,P6090037,Anna Metzger,
126,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,fishing net,POLY,POLY,1,2.082,0.077,0.228,,P6090041,Anna Metzger,either really tiny worm/half a worm
127,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,fishing net,POLY,POLY,1,4.552,0.119,0.739,,P6090057,Anna Metzger,
128,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,fishing net,POLY,POLY,1,2.95,0.154,0.4,,P6090080,Anna Metzger,
129,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,fishing net,POLY,POLY,1,2.056,0.138,0.388,,P6090066,Anna Metzger,
130,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,fishing net,POLY,POLY,1,4.093,0.178,0.88,,P6090072,Anna Metzger,
131,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,fishing net,POLY,POLY,1,0.996,0.1,0.123,,P6090073,Anna Metzger,
132,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,fishing net,POLY,POLY,1,1.285,0.084,0.119,,P6090059,Anna Metzger,
133,Red,6/9/2023,Karas A & B,Karas,Lydia,bristle worm,fishing net,POLY,POLY,1,0.588,0.071,0.067,,P6090048,Anna Metzger,
134,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,fishing net,POLY,FIRE,1,1.286,0.106,0.15,,P6090067,Anna Metzger,
135,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,fishing net,POLY,FIRE,1,0.911,0.148,0.171,,P6090071,Anna Metzger,
136,Red,6/9/2023,Karas A & B,Karas,Lydia,bristle worm,fishing net,POLY,POLY,1,1.811,0.078,0.26,,P6090074,Anna Metzger,
137,Red,6/9/2023,Karas A & B,Karas,Lydia,bristle worm,fishing net,POLY,POLY,1,0.968,0.065,0.071,,P6090060,Anna Metzger,
138,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,fishing net,POLY,FIRE,1,0.635,0.115,0.078,,P6090061,Anna Metzger,
139,Red,6/9/2023,Karas A & B,Karas,Lydia,bristle worm,fishing net,POLY,POLY,1,0.823,0.149,0.143,,P6090075,Anna Metzger,
140,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,fishing net,POLY,FIRE,1,3.243,0.311,0.595,,P6090049,Lydia,
141,Red,6/9/2023,Karas A & B,Karas,Lydia,bristle worm,fishing net,POLY,POLY,1,1.376,0.239,0.316,,P6090063,Lydia,
142,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,fishing net,POLY,FIRE,1,1.384,0.255,0.239,,P6090039,Lydia,
143,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,fishing net,POLY,POLY,1,1.492,0.188,0.205,,P6090088,Lydia,
144,Red,6/9/2023,Karas A & B,Karas,Lydia,spagetti worm,fishing net,POLY,TERB,1,5.497,0.538,1.543,,P6090076,Lydia,
145,Red,6/9/2023,Karas A & B,Karas,Lydia,peanut worm,fishing net,SIPN,SIPN,1,2.192,0.226,0.307,,P6090089,Lydia,
146,Red,6/9/2023,Karas A & B,Karas,Lydia,spagetti worm,fishing net,POLY,TERB,1,1.076,0.115,0.061,,P6090065,Lydia,
147,Red,6/9/2023,Karas A & B,Karas,Lydia,chiton,none,CHIT,CHIT,1,,,,,,Lydia,no photo
148,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,none,POLY,FIRE,1,1.756,0.217,0.261,,P6090044,Lydia,
149,Red,6/9/2023,Karas A & B,Karas,Lydia,worm,none,POLY,POLY,1,0.835,0.183,0.037,,P6090050,Lydia,
150,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,none,POLY,FIRE,1,2.839,0.233,0.432,,P6090055,Lydia,
151,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,none,POLY,FIRE,1,1.274,0.224,0.167,,P6090039,Lydia,
152,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,none,POLY,FIRE,1,0.536,0.194,0.061,,P6090054,Lydia,
153,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,none,POLY,FIRE,1,1.04,0.219,0.167,,P6090043,Lydia,
154,Red,6/9/2023,Karas A & B,Karas,Lydia,clam,none,BIVL,CLAM,1,2.046,1.736,2.9,,P6090094,Lydia,
155,Red,6/9/2023,Karas A & B,Karas,Lydia,mussel,none,BIVL,MUSS,1,0.852,0.4,0.275,,P6090084,Lydia,
156,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,jumpsuit,OPHR,OPHR,1,,,,,,Lydia,no photo
156.1,Red,6/9/2023,Karas A & B,Karas,Lydia,amphipod,none,AMPH,AMPH,1,0.951,0.228,0.142,,,Lydia,
157,Red,6/9/2023,Karas A & B,Karas,Lydia,amphipod,none,AMPH,AMPH,1,0.846,0.177,0.126,,,Anna Metzger,
158,Red,6/9/2023,Karas A & B,Karas,Lydia,amphipod,none,AMPH,AMPH,1,0.73,0.166,0.087,,,Anna Metzger,
159,Red,6/9/2023,Karas A & B,Karas,Lydia,amphipod,none,AMPH,AMPH,1,0.995,0.188,0.145,,,Anna Metzger,
160,Red,6/9/2023,Karas A & B,Karas,Lydia,amphipod,none,AMPH,AMPH,1,1.257,0.242,0.094,,,Anna Metzger,
161,Red,6/9/2023,Karas A & B,Karas,Lydia,amphipod,hat,AMPH,AMPH,1,0.804,0.169,0.153,,,Anna Metzger,
162,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,hat,POLY,POLY,1,1.896,0.283,0.302,,,Lydia,
163,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,hat,POLY,POLY,1,1.107,0.168,0.102,,,Lydia,
164,Red,6/9/2023,Karas A & B,Karas,Lydia,clinging crab,fish collection net,MTHR,CLNG,1,0.297,0.407,0.09,,,Lydia,
165,Red,6/9/2023,Karas A & B,Karas,Lydia,sponge crab,none,DROM,DROM,1,0.411,0.337,0.071,,,Lydia,
166,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,none,POLY,POLY,1,0.848,0.18,0.076,,,Lydia,
167,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,none,POLY,POLY,1,4.122,0.453,1.1,,,Lydia,
168,Red,6/9/2023,Karas A & B,Karas,Lydia,polychaete,none,POLY,POLY,1,2.547,0.403,0.562,,,Lydia,
169,Red,6/9/2023,Karas A & B,Karas,Lydia,crab,none,XNTH,XNTH,1,0.774,1.243,0.9,,,Lydia,
170,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,none,OPHR,OPHR,1,0.679,0.717,0.246,,,Lydia,measurement without arms
171,Red,6/9/2023,Karas A & B,Karas,Lydia,spagetti worm,none,POLY,TERB,1,1.553,0.541,0.569,,,Lydia,
172,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,none,OPHR,OPHR,1,0.239,0.211,0.052,,,Lydia,
173,Red,6/9/2023,Karas A & B,Karas,Lydia,orange striped shrimp,none,CARD,SNAP,1,3.204,0.715,1.28,,,Lydia,
174,Red,6/9/2023,Karas A & B,Karas,Lydia,scallop,none,BIVL,SCAL,1,1.758,1.631,2.016,,,Lydia,
175,Red,6/9/2023,Karas A & B,Karas,Lydia,crab,none,XNTH,XNTH,1,0.482,0.921,0.272,,,Lydia,
176,Red,6/9/2023,Karas A & B,Karas,Lydia,crab,none,XNTH,XNTH,1,0.387,0.513,0.158,,,Lydia,
177,Red,6/9/2023,Karas A & B,Karas,Lydia,shrimp,none,CARD,PALA,1,1.404,0.378,0.379,,,Lydia,
178,Red,6/9/2023,Karas A & B,Karas,Lydia,amphipod,none,AMPH,AMPH,1,0.854,0.221,0.135,,,Lydia,
179,Red,6/9/2023,Karas A & B,Karas,Lydia,decorator crab,none,MTHR,DECO,1,0.277,0.249,0.05,,,Lydia,
180,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,none,OPHR,OPHR,1,0.266,0.261,0.053,,,Lydia,
181,Red,6/9/2023,Karas A & B,Karas,Lydia,fireworm,none,POLY,FIRE,1,3.085,0.325,0.806,,P6090030,Lydia,
182,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,none,OPHR,OPHR,1,0.223,0.223,0.043,,,Lydia,
183,Red,6/9/2023,Karas A & B,Karas,Lydia,crab,none,XNTH,XNTH,1,0.378,0.564,0.198,,,Lydia,
184,Red,6/9/2023,Karas A & B,Karas,Lydia,crab,none,XNTH,XNTH,1,0.267,0.382,0.072,,,Lydia,
185,Red,6/9/2023,Karas A & B,Karas,Lydia,brittle star,none,OPHR,OPHR,1,0.33,0.289,0.076,,,Lydia,
